,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
130,(주)구스앤홈,329050,2017/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,(주)구스앤홈,329050,2018/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,(주)구스앤홈,329050,2019/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,(주)구스앤홈,329050,2020/12,2019/07/12,2021/04/13,4,  섬유제품 제조업; 의복제외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,(주)극동자동화,272420,2014/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,(주)극동자동화,272420,2015/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,(주)극동자동화,272420,2016/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,(주)극동자동화,272420,2017/12,2017/06/28,2018/11/15,4,  전문직별 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,(주)금빛,45890,2011/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-28.11,-3.53,-4.0,-42.51,-57.36,-25.96,-24.64,0.0,-11.19,-58.01,-59.57,-21.38,-24.95,2205.57,-1366.0,104.65,62.18,10.5,2.22,148.74,-7.72,124.22,50.06,40.2,357.95,0.43,1.07,1.01,1.51,2.4,3.79,96.41,241.22,151.89,0.0,7.67,0.42,1.26,0.75,1.49,-20171.84,-18.45,-46.14,-697.68,-35.89,0.0,0.0,0.0
222,(주)금빛,45890,2012/12,2005/11/28,2021/12/20,4,  전기장비 제조업,-10.15,-1.04,3.85,-24.12,-15.85,-10.1,27.92,0.0,27.73,-8.84,-14.7,-3.81,-6.12,2821.38,-272.0,83.68,46.03,10.22,-8.24,139.1,-1.49,138.02,42.28,41.82,321.8,0.69,1.69,1.29,3.52,5.12,7.74,47.16,103.81,71.23,0.01,1.11,0.73,1.65,1.49,2.6,7320.9,7.45,16.92,233.27,10.18,137.85,-37.85,-86.79
223,(주)금빛,45890,2013/12,2005/11/28,2021/12/20,4,  전기장비 제조업,5.84,-2.39,7.46,3.64,-14.98,5.71,22.98,0.0,28.99,3.27,6.85,5.48,2.86,3469.69,116.0,73.49,46.36,11.65,-14.93,139.4,1.83,140.3,41.4,41.77,340.18,0.87,2.09,1.5,5.11,6.68,10.85,33.64,71.37,54.61,0.01,1.06,0.92,2.07,2.09,3.54,22703.29,21.84,53.79,887.9,25.68,61.47,38.53,12.74
224,(주)금빛,45890,2014/12,2005/11/28,2021/12/20,4,  전기장비 제조업,5.01,0.15,3.77,6.78,27.64,4.33,-6.51,-43.56,30.81,1.97,3.68,5.48,1.53,3243.93,65.0,74.14,41.42,1.79,-14.68,141.45,2.26,139.82,42.09,41.42,354.91,0.78,1.86,1.33,4.57,4.84,7.52,48.55,79.85,75.45,0.01,0.53,0.79,1.96,1.86,3.13,23218.34,21.27,54.96,790.82,28.09,66.07,33.93,7.02
