회사명,거래소코드,회계년도,[제조]이자보상배율(이자비용)(IFRS),[제조]* (정상)영업손익(보고서기재)(IFRS),[제조]   이자비용(IFRS),[제조]이자보상배율(이자비용)(IFRS연결),[제조]* (정상)영업손익(보고서기재)(IFRS연결),[제조]   이자비용(IFRS연결)
(주)CMG제약,058820,2010/12,-7.42,-7537071,1016039,-7.42,-7537071,1016039
(주)CMG제약,058820,2011/12,3.94,714950,181404,3.53,640283,181404
(주)CMG제약,058820,2012/12,-7.45,-4045140,542880,-7.75,-4205503,542880
(주)CMG제약,058820,2013/12,0.73,822547,1133753,0.7,791250,1134104
(주)CMG제약,058820,2014/12,3.63,446018,122840,3.6,442322,122840
(주)CMG제약,058820,2015/12,-32.2,-2570878,79830,-32.22,-2572168,79830
(주)CMG제약,058820,2016/12,999999999,1730753,0,999999999,1730753,0
(주)CMG제약,058820,2017/12,999999999,1558607,0,999999999,1558607,0
(주)CMG제약,058820,2018/12,999999999,2567820,0,999999999,2567820,0
(주)CMG제약,058820,2019/12,303,2603774,8593,303,2603774,8593
(주)CMG제약,058820,2020/12,79.74,1822365,22853,,,
(주)ES큐브,050120,2010/12,7.84,577543,73684,-7.12,-533613,74965
(주)ES큐브,050120,2011/12,-142.77,-2080143,14570,-245.99,-3650245,14839
(주)ES큐브,050120,2012/12,20.03,645839,32239,1.72,89337,51946
(주)ES큐브,050120,2013/12,9.51,217136,22822,-37.44,-1164611,31106
(주)ES큐브,050120,2014/12,999999999,325909,0,22.2,171090,7707
(주)ES큐브,050120,2015/12,999999999,2370570,0,-11.86,-4060426,342236
(주)ES큐브,050120,2016/12,11.58,2359527,203736,8.98,2161041,240742
(주)ES큐브,050120,2017/12,2.76,2170102,785009,2.86,2248520,785009
(주)ES큐브,050120,2018/12,0.47,691469,1482191,-0.82,-1211129,1483631
(주)ES큐브,050120,2019/12,0.17,587700,3540387,-0.68,-2617071,3824474
(주)ES큐브,050120,2020/12,0.45,1452732,3206852,3.09,10315988,3334795
(주)가비아,079940,2010/12,9.46,3959527,418500,14.98,6692482,446894
(주)가비아,079940,2011/12,10.88,3932156,361451,22.28,8180883,367186
(주)가비아,079940,2012/12,6.25,2949228,471786,15.43,7619962,493791
(주)가비아,079940,2013/12,7.48,3035051,405591,15.81,7033504,444815
(주)가비아,079940,2014/12,11.16,3451259,309276,24.59,8382688,340937
(주)가비아,079940,2015/12,28.34,4531993,159930,64.83,11349094,175055
(주)가비아,079940,2016/12,33.33,3981746,119467,83.64,12549259,150039
(주)가비아,079940,2017/12,27.12,3176328,117130,53.72,12712157,236636
(주)가비아,079940,2018/12,25.87,4106091,158738,62.3,18188449,291945
(주)가비아,079940,2019/12,19.48,4889113,251017,34.25,23736596,693082
(주)가비아,079940,2020/12,36.98,7129578,192784,58.63,28545232,486898
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)가온칩스,399720,2020/12,114.82,1973589,17188,,,
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,-5.41,-5125200,947886,,,
(주)강스템바이오텍,217730,2016/12,-18.89,-9117541,482568,,,
(주)강스템바이오텍,217730,2017/12,-7.93,-11132505,1403456,-8.15,-11737865,1439546
(주)강스템바이오텍,217730,2018/12,-11.95,-10525345,881052,-12.31,-11693969,949916
(주)강스템바이오텍,217730,2019/12,-23.34,-19411148,831730,-21.5,-23153708,1076801
(주)강스템바이오텍,217730,2020/12,-45.05,-16744948,371667,-33.4,-18725365,560710
(주)강원에너지,114190,2010/11,438.92,1779388,4054,,,
(주)강원에너지,114190,2011/11,393.9,6590008,16730,,,
(주)강원에너지,114190,2012/12,58.37,11611165,198929,,,
(주)강원에너지,114190,2013/12,18.11,3234230,178578,,,
(주)강원에너지,114190,2014/12,39.01,1626297,41685,,,
(주)강원에너지,114190,2015/12,762.19,878120,1152,187.51,447206,2385
(주)강원에너지,114190,2016/12,-166.16,-901973,5428,-241.54,-1311190,5428
(주)강원에너지,114190,2017/12,-89.84,-5421114,60340,-26.56,-5588512,210372
(주)강원에너지,114190,2018/12,0.35,532248,1521486,0.2,341329,1694660
(주)강원에너지,114190,2019/12,-9.33,-17150531,1839180,-8.38,-17175963,2048603
(주)강원에너지,114190,2020/12,-26.41,-8978062,339931,-19.76,-9226308,466887
(주)경윤하이드로에너지,019120,2010/12,-4.59,-2647412,577348,,,
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,16.79,3017621,179709,,,
(주)고려시멘트,198440,2018/12,9.2,3837563,416976,,,
(주)고려시멘트,198440,2019/12,-1.08,-459627,425258,,,
(주)고려시멘트,198440,2020/12,41.09,4280746,104184,,,
(주)고바이오랩,348150,2019/12,,-5734638,776589,,-7351899,776589
(주)고바이오랩,348150,2020/12,-14.42,-10213856,708106,-17.43,-12344974,708106
(주)고영테크놀러지,098460,2010/12,55.77,19485265,349377,55.42,20490535,369731
(주)고영테크놀러지,098460,2011/12,999999999,19597519,0,22785.6,18820907,826
(주)고영테크놀러지,098460,2012/12,999999999,20358471,0,1627.45,21443286,13176
(주)고영테크놀러지,098460,2013/12,999999999,17778872,0,443.96,16773438,37781
(주)고영테크놀러지,098460,2014/12,999999999,27729256,0,1673.12,28155311,16828
(주)고영테크놀러지,098460,2015/12,999999999,26172507,0,2242.05,23449593,10459
(주)고영테크놀러지,098460,2016/12,999999999,31039820,0,2001.96,33184488,16576
(주)고영테크놀러지,098460,2017/12,999999999,45513084,0,6141.06,43748905,7124
(주)고영테크놀러지,098460,2018/12,999999999,46196834,0,5839.89,45983316,7874
(주)고영테크놀러지,098460,2019/12,186.77,40057965,214477,112.96,33331312,295067
(주)고영테크놀러지,098460,2020/12,73.13,13572990,185596,61.47,15842903,257714
(주)골드앤에스,035290,2010/12,-7.21,-8191503,1136681,-7.22,-8206248,1136681
(주)골드앤에스,035290,2011/12,1.25,1392408,1111573,1.13,1295340,1144194
(주)골드앤에스,035290,2012/12,-1.95,-2363142,1211151,-1.91,-2330876,1222442
(주)골드앤에스,035290,2013/12,-4.6,-4982102,1083779,-3.83,-6493110,1696741
(주)골드앤에스,035290,2014/12,-1.73,-2318778,1343057,-1.41,-3079598,2188673
(주)골드앤에스,035290,2015/12,1.89,1062021,563197,1.99,1143768,574821
(주)골드앤에스,035290,2016/12,2.5,389642,155685,2.42,402070,166195
(주)골드앤에스,035290,2017/12,-27.46,-3690116,134375,-26.15,-3694041,141278
(주)골드앤에스,035290,2018/12,-4.46,-4559128,1022896,-4.56,-4667030,1022918
(주)골드앤에스,035290,2019/12,-1.46,-7142117,4887799,-1.46,-7142117,4887799
(주)골드앤에스,035290,2020/12,-0.98,-2343112,2401604,-0.98,-2343112,2401604
(주)골드퍼시픽,038530,2010/12,999999999,519392,0,,,
(주)골드퍼시픽,038530,2011/12,14.16,1726132,121872,,,
(주)골드퍼시픽,038530,2012/12,2.66,726901,273605,,,
(주)골드퍼시픽,038530,2013/12,-10.81,-5584540,516393,-11.34,-6137582,541030
(주)골드퍼시픽,038530,2014/12,-6.82,-5975389,876341,-4.33,-5819314,1343820
(주)골드퍼시픽,038530,2015/12,-13.68,-8197750,599352,-9.59,-8243124,859307
(주)골드퍼시픽,038530,2016/12,-17.43,-8525119,489114,,,
(주)골드퍼시픽,038530,2017/12,0.62,937598,1516482,,,
(주)골드퍼시픽,038530,2018/12,-0.38,-506241,1331186,-0.68,-904003,1335789
(주)골드퍼시픽,038530,2019/12,-0.89,-3421041,3838407,,,
(주)골드퍼시픽,038530,2020/12,0.18,684966,3801250,,,
(주)골프존,215000,2015/12,,47628136,711133,,49582444,711609
(주)골프존,215000,2016/12,58.98,43961456,745423,59.8,45442469,759926
(주)골프존,215000,2017/12,47.32,33528808,708492,52.52,37457577,713146
(주)골프존,215000,2018/12,39.07,29085694,744489,37.61,28160266,748762
(주)골프존,215000,2019/12,44.45,36199059,814308,32.18,32297494,1003551
(주)골프존,215000,2020/12,41.77,51582977,1234876,34.09,51572914,1513019
(주)골프존뉴딘홀딩스,121440,2010/12,999999999,62513470,0,3878.1,65733742,16950
(주)골프존뉴딘홀딩스,121440,2011/12,1759.62,54711939,31093,1101.46,54442032,49427
(주)골프존뉴딘홀딩스,121440,2012/12,48.56,73882041,1521547,31.08,69002648,2220350
(주)골프존뉴딘홀딩스,121440,2013/12,39.77,84447683,2123633,25.98,80489158,3098214
(주)골프존뉴딘홀딩스,121440,2014/12,65.05,101367116,1558321,22.05,102393717,4644206
(주)골프존뉴딘홀딩스,121440,2015/12,-21.02,-13803824,656650,-1.54,-9349582,6064429
(주)골프존뉴딘홀딩스,121440,2016/12,-4.43,-5563087,1256700,5.22,37005985,7082912
(주)골프존뉴딘홀딩스,121440,2017/12,-4.92,-6824300,1386530,2.81,18422625,6550057
(주)골프존뉴딘홀딩스,121440,2018/12,-7.1,-11005550,1550557,0.15,1114231,7546948
(주)골프존뉴딘홀딩스,121440,2019/12,-9.01,-17956208,1993026,-0.36,-3625436,10033230
(주)골프존뉴딘홀딩스,121440,2020/12,18.56,36116411,1946079,3.42,29999994,8772723
(주)공구우먼,366030,2017/12,,,,,,
(주)공구우먼,366030,2018/12,,,,,,
(주)공구우먼,366030,2019/12,,,,,,
(주)공구우먼,366030,2020/12,235.88,5379170,22805,,,
(주)광림,014200,2010/12,2.5,3477844,1390913,,,
(주)광림,014200,2011/12,4.55,5263609,1157233,,,
(주)광림,014200,2012/12,1.71,1321582,771343,,,
(주)광림,014200,2013/12,6.18,3310917,535375,,,
(주)광림,014200,2014/12,1.79,1910652,1066049,0.7,2185491,3136508
(주)광림,014200,2015/12,0.43,1326666,3060107,,,
(주)광림,014200,2016/12,0.16,171774,1107586,0.16,171774,1107586
(주)광림,014200,2017/12,1.64,2304157,1405458,-3.19,-12369550,3872634
(주)광림,014200,2018/12,1.45,2202922,1523489,-0.23,-1044494,4555761
(주)광림,014200,2019/12,1.37,3819332,2782235,-2.3,-10983157,4779694
(주)광림,014200,2020/12,1.3,8224561,6340627,1.07,8844914,8299120
(주)광무,029480,2010/12,0.66,3016953,4561190,0.68,3131491,4586758
(주)광무,029480,2011/12,-2.59,-11400527,4404751,-3.01,-13535610,4492739
(주)광무,029480,2012/12,-2.61,-5614534,2148753,-2.69,-5776949,2148753
(주)광무,029480,2013/12,-4.26,-6899306,1617921,-8.2,-13904969,1696638
(주)광무,029480,2014/12,1.12,1422352,1269418,,,
(주)광무,029480,2015/12,-0.8,-620363,772292,,,
(주)광무,029480,2016/12,1.93,1294011,670738,,,
(주)광무,029480,2017/12,0.32,199525,623290,,,
(주)광무,029480,2018/12,-1.6,-671966,418814,-3.19,-1335245,418814
(주)광무,029480,2019/12,-2.36,-2260048,958464,-2.9,-3012624,1037639
(주)광무,029480,2020/12,-1.72,-3068879,1780990,-1.92,-3573279,1865706
(주)구스앤홈,329050,2017/12,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,
(주)구영테크,053270,2010/12,2.23,6941447,3118988,1.5,7839752,5214690
(주)구영테크,053270,2011/12,1.41,5189843,3681661,0.96,5159050,5373560
(주)구영테크,053270,2012/12,1.21,4839337,4002776,1.29,7488049,5794495
(주)구영테크,053270,2013/12,1.26,4463036,3535932,1.39,7492265,5393133
(주)구영테크,053270,2014/12,1.08,2782247,2565325,1.38,5438229,3944686
(주)구영테크,053270,2015/12,1.98,3529661,1780714,1.97,6145428,3112676
(주)구영테크,053270,2016/12,3.06,4114290,1342418,1.65,4337719,2622375
(주)구영테크,053270,2017/12,2.56,3025353,1183774,2.37,5691336,2401216
(주)구영테크,053270,2018/12,0.73,1638585,2230934,1.47,5378869,3651961
(주)구영테크,053270,2019/12,1.14,2513647,2208174,1.33,5239175,3945636
(주)구영테크,053270,2020/12,1.31,2377110,1816498,1.04,2938642,2826237
(주)국보디자인,066620,2010/12,472.47,4251760,8999,75.05,7073689,94256
(주)국보디자인,066620,2011/12,235.83,8488848,35995,238.18,8573206,35995
(주)국보디자인,066620,2012/12,2055.61,10775504,5242,2003.29,10501258,5242
(주)국보디자인,066620,2013/12,1366.16,10440161,7642,1539.88,11767773,7642
(주)국보디자인,066620,2014/12,1414.92,9850658,6962,1917.05,13346472,6962
(주)국보디자인,066620,2015/12,998.53,6839950,6850,1867.07,12789435,6850
(주)국보디자인,066620,2016/12,9744.77,13350340,1370,6455.77,10516456,1629
(주)국보디자인,066620,2017/12,3662.13,23990595,6551,3543.84,23215727,6551
(주)국보디자인,066620,2018/12,999999999,16747379,0,382.19,16463397,43076
(주)국보디자인,066620,2019/12,675.37,10506065,15556,592.26,11557298,19514
(주)국보디자인,066620,2020/12,2102.56,21477616,10215,2015.9,25743067,12770
(주)국순당,043650,2010/12,999999999,15496377,0,261.67,14517859,55482
(주)국순당,043650,2011/12,999999999,5668811,0,167.22,5344491,31961
(주)국순당,043650,2012/12,999999999,6794416,0,172.69,5650758,32722
(주)국순당,043650,2013/12,999999999,1187809,0,9.21,1441447,156475
(주)국순당,043650,2014/12,999999999,881757,0,9.17,1082245,118046
(주)국순당,043650,2015/12,999999999,-8305751,0,-334.84,-8197632,24482
(주)국순당,043650,2016/12,999999999,-5456865,0,-327.25,-6487771,19825
(주)국순당,043650,2017/12,999999999,-3584872,0,-12.28,-4263332,347165
(주)국순당,043650,2018/12,999999999,-2751939,0,-7.85,-2994444,381389
(주)국순당,043650,2019/12,999999999,-5440912,0,-4.32,-5966921,1381287
(주)국순당,043650,2020/12,999999999,5089339,0,261.6,4581979,17515
(주)국영지앤엠,006050,2010/12,113.81,9811529,86209,,,
(주)국영지앤엠,006050,2011/12,-170.81,-2947683,17257,,,
(주)국영지앤엠,006050,2012/12,-4.57,-1490604,326280,,,
(주)국영지앤엠,006050,2013/12,2.35,1332568,567496,,,
(주)국영지앤엠,006050,2014/12,5.13,1587301,309643,,,
(주)국영지앤엠,006050,2015/12,-15.79,-1039280,65838,,,
(주)국영지앤엠,006050,2016/12,3.4,248835,73083,,,
(주)국영지앤엠,006050,2017/12,17.57,1410362,80260,,,
(주)국영지앤엠,006050,2018/12,-18.31,-920018,50253,,,
(주)국영지앤엠,006050,2019/12,15.75,991045,62923,,,
(주)국영지앤엠,006050,2020/12,-18.55,-2061462,111112,,,
(주)국전약품,307750,2018/12,,,,,,
(주)국전약품,307750,2019/12,,,,,,
(주)국전약품,307750,2020/12,10.05,5790480,575932,,,
(주)그래디언트,035080,2010/12,999999999,-3295420,0,-42.02,-15191497,361488
(주)그래디언트,035080,2011/12,-37.08,-7828136,211126,-48.06,-17906695,372559
(주)그래디언트,035080,2012/12,-0.12,-707626,5739961,1.38,14020875,10192172
(주)그래디언트,035080,2013/12,0.17,309117,1873070,7.5,47742962,6369409
(주)그래디언트,035080,2014/12,0.35,161037,456214,14.81,51009616,3444607
(주)그래디언트,035080,2015/12,34.27,5841995,170454,26.27,65149099,2479657
(주)그래디언트,035080,2016/12,22.55,10733856,476013,13.02,49505493,3801339
(주)그래디언트,035080,2017/12,26.15,6033339,230679,13.33,29816493,2236223
(주)그래디언트,035080,2018/12,27.44,5963182,217322,8.44,19963614,2365245
(주)그래디언트,035080,2019/12,11.08,3788374,341897,10.13,45164129,4459859
(주)그래디언트,035080,2020/12,-6.03,-1869302,310194,-3.21,-11151028,3472305
(주)그리티,204020,2010/12,,,,,,
(주)그리티,204020,2011/12,,,,,,
(주)그리티,204020,2012/12,,,,,,
(주)그리티,204020,2013/12,,,,,,
(주)그리티,204020,2014/12,416.52,9788204,23500,57.58,10909472,189461
