mda_feature,logit_feature,lasso_feature,ela_feature,same_feature
자기자본구성비율,매출액증가율,자기자본증가율,자기자본증가율,자기자본배율
매출액순이익률,유형자산증가율,총자본증가율,총자본증가율,자기자본구성비율
순운전자본비율,재고자산증가율,매출액순이익률,매출액순이익률,매출액순이익률
순운전자본회전률,비유동자산증가율,자기자본순이익률,자기자본순이익률,총자본증가율
총자본투자효율,유동자산증가율,순운전자본비율,총자본사업이익률,매출채권회전기간
자기자본순이익률,현금비율,유동자산구성비율,총자본순이익률,순운전자본비율
총자본증가율,이자보상배율이자비용,자기자본배율,순운전자본비율,순운전자본회전률
총자본사업이익률,비유동비율,매출채권회전률,자기자본구성비율,자기자본순이익률
기계투자효율,자기자본구성비율,매입채무회전기간,자기자본배율,총자본투자효율
1주당순이익,자기자본배율,매출채권회전기간,매출채권회전기간,매출채권회전률
총자본순이익률,매출채권회전률,순운전자본회전률,순운전자본회전률,총자본순이익률
자기자본배율,매출채권회전기간,총자본투자효율,부가가치율,자기자본증가율
